"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","AVG_00TMST","AVG_01TMST","AVG_02TMST","AVG_03TMST","AVG_04TMST","AVG_05TMST","AVG_06TMST","AVG_07TMST","AVG_08TMST","AVG_09TMST","AVG_10TMST","AVG_11TMST","AVG_12TMST","AVG_13TMST","AVG_14TMST","AVG_15TMST","AVG_16TMST","AVG_17TMST","AVG_18TMST","AVG_19TMST","AVG_20TMST","AVG_21TMST","AVG_22TMST","AVG_23TMST","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","1.10106E+19","953935.1875","1957264","0.2","0.08","0.04","0.02","0.02","0.03","0.1","0.29","0.54","0.84","1.04","1.05","0.99","1.03","1.05","1.08","1.13","1.16","1.1","0.88","0.76","0.68","0.52","0.36","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953935.5","1957315","0.15","0.06","0.03","0.02","0.01","0.02","0.07","0.21","0.39","0.61","0.75","0.76","0.72","0.75","0.76","0.78","0.82","0.84","0.8","0.64","0.55","0.49","0.38","0.26","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953935.8125","1957367","0.12","0.05","0.02","0.01","0.01","0.02","0.06","0.18","0.33","0.51","0.63","0.64","0.6","0.63","0.64","0.66","0.69","0.71","0.67","0.53","0.46","0.42","0.32","0.22","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953936.125","1957418","1.03","0.48","0.26","0.17","0.13","0.2","0.66","1.94","3.48","5.11","6.11","6.07","5.96","6.11","6.4","6.54","6.78","6.79","6.37","5.25","4.46","3.98","3.07","1.99","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953936.625","1957521","0.12","0.05","0.02","0.01","0.01","0.02","0.06","0.17","0.32","0.5","0.62","0.62","0.58","0.61","0.62","0.64","0.67","0.69","0.65","0.52","0.45","0.4","0.31","0.22","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953937.1875","1957624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953937.5","1957675","0.07","0.03","0.02","0.02","0.01","0.02","0.06","0.13","0.23","0.37","0.46","0.45","0.4","0.43","0.44","0.46","0.49","0.51","0.46","0.37","0.28","0.24","0.19","0.12","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953937.8125","1957726","0.09","0.04","0.03","0.02","0.02","0.02","0.07","0.15","0.28","0.45","0.56","0.54","0.49","0.52","0.54","0.56","0.6","0.61","0.56","0.44","0.34","0.29","0.23","0.15","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953938.125","1957778","0.12","0.06","0.04","0.03","0.02","0.03","0.1","0.21","0.39","0.62","0.78","0.75","0.68","0.72","0.74","0.77","0.82","0.85","0.78","0.61","0.47","0.4","0.32","0.21","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953982.8125","1957007","0.41","0.16","0.08","0.05","0.04","0.07","0.2","0.59","1.08","1.7","2.1","2.13","2","2.08","2.11","2.17","2.27","2.34","2.22","1.77","1.54","1.38","1.05","0.74","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953983","1957058","1.18","0.52","0.33","0.21","0.18","0.29","0.83","1.96","3.61","5.71","7.09","6.96","6.34","6.72","6.89","7.15","7.57","7.8","7.23","5.72","4.58","3.97","3.13","2.08","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953983.3125","1957110","1.12","0.49","0.31","0.2","0.17","0.27","0.79","1.85","3.42","5.42","6.73","6.61","6.03","6.38","6.53","6.78","7.18","7.41","6.86","5.42","4.34","3.76","2.98","1.97","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953983.625","1957161","0.08","0.05","0.03","0.02","0.02","0.04","0.08","0.17","0.3","0.48","0.58","0.54","0.53","0.53","0.52","0.55","0.56","0.56","0.55","0.49","0.39","0.28","0.19","0.13","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953983.875","1957212","0.75","0.33","0.2","0.13","0.12","0.17","0.52","1.23","2.26","3.57","4.44","4.36","3.98","4.21","4.31","4.47","4.73","4.89","4.53","3.58","2.87","2.48","1.97","1.3","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953984.1875","1957264","0.53","0.24","0.15","0.09","0.08","0.13","0.37","0.86","1.6","2.53","3.14","3.08","2.81","2.98","3.05","3.16","3.35","3.45","3.21","2.53","2.03","1.76","1.4","0.92","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953984.375","1957315","0.36","0.15","0.1","0.06","0.05","0.08","0.25","0.58","1.08","1.7","2.12","2.08","1.89","2.01","2.06","2.14","2.26","2.33","2.16","1.71","1.37","1.19","0.94","0.62","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954032.125","1957058","1.14","0.5","0.31","0.2","0.17","0.28","0.79","1.87","3.45","5.46","6.79","6.66","6.07","6.44","6.58","6.84","7.24","7.47","6.92","5.47","4.38","3.79","3.01","1.98","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953984.8125","1957366","0.29","0.13","0.08","0.05","0.04","0.07","0.2","0.48","0.89","1.41","1.75","1.72","1.56","1.66","1.69","1.76","1.87","1.92","1.78","1.42","1.13","0.97","0.77","0.51","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953985","1957418","0.58","0.27","0.15","0.09","0.09","0.14","0.38","0.98","1.89","2.59","3.14","3.08","2.9","3.12","3.25","3.41","3.65","3.69","3.53","2.96","2.42","2.09","1.62","1.06","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953986.8125","1957726","0.07","0.03","0.02","0.01","0.01","0.02","0.06","0.12","0.22","0.35","0.44","0.42","0.38","0.41","0.42","0.43","0.46","0.48","0.44","0.34","0.26","0.23","0.18","0.12","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954032.375","1957109","0.41","0.19","0.1","0.06","0.05","0.08","0.24","0.74","1.38","2.07","2.57","2.79","2.94","3.02","2.94","2.93","3.1","2.85","2.7","2.24","1.87","1.55","1.12","0.79","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954033.5","1957315","0.39","0.18","0.11","0.07","0.06","0.09","0.28","0.64","1.19","1.89","2.36","2.31","2.1","2.23","2.28","2.37","2.51","2.59","2.4","1.89","1.52","1.32","1.04","0.68","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954032.6875","1957161","0.08","0.04","0.03","0.02","0.02","0.04","0.08","0.17","0.29","0.47","0.56","0.53","0.51","0.51","0.51","0.53","0.54","0.55","0.53","0.47","0.38","0.28","0.19","0.13","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954032.875","1957212","0.26","0.11","0.05","0.03","0.03","0.04","0.13","0.38","0.7","1.1","1.36","1.37","1.29","1.34","1.36","1.4","1.47","1.51","1.43","1.14","0.99","0.89","0.68","0.47","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954033.3125","1957263","0.54","0.24","0.15","0.09","0.08","0.13","0.38","0.89","1.64","2.6","3.23","3.17","2.89","3.06","3.13","3.25","3.45","3.55","3.3","2.6","2.08","1.8","1.43","0.95","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954033.8125","1957366","0.34","0.15","0.09","0.06","0.05","0.08","0.24","0.55","1.02","1.61","2.01","1.97","1.8","1.9","1.94","2.02","2.14","2.21","2.05","1.61","1.29","1.12","0.89","0.59","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954034.125","1957418","0.13","0.05","0.03","0.01","0.01","0.02","0.06","0.18","0.33","0.52","0.65","0.65","0.61","0.64","0.65","0.67","0.7","0.72","0.68","0.54","0.47","0.42","0.32","0.23","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954034.375","1957469","0.23","0.11","0.07","0.05","0.04","0.07","0.19","0.41","0.76","1.2","1.5","1.45","1.3","1.39","1.43","1.49","1.59","1.64","1.5","1.18","0.91","0.77","0.62","0.4","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954081.125","1957058","0.8","0.47","0.37","0.26","0.22","0.3","0.6","1.28","2.3","3.68","4.42","4.38","4.03","4.11","4.21","4.36","4.51","4.48","4.08","3.25","2.79","2.34","1.88","1.29","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954081.375","1957109","0.41","0.31","0.29","0.21","0.17","0.23","0.4","0.7","1.26","2.04","2.4","2.33","2.11","2.12","2.18","2.28","2.34","2.24","1.97","1.57","1.33","1.04","0.88","0.59","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954081.625","1957160","0.32","0.13","0.06","0.04","0.03","0.05","0.16","0.46","0.84","1.32","1.63","1.65","1.55","1.62","1.64","1.69","1.77","1.82","1.73","1.38","1.2","1.07","0.82","0.57","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","954082.3125","1957263","0.37","0.17","0.12","0.08","0.07","0.11","0.3","0.65","1.21","1.92","2.4","2.32","2.09","2.23","2.29","2.39","2.54","2.62","2.4","1.89","1.45","1.24","1","0.64","2016-05-04 오후 6:20:55"
