"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","MAN_FLOW_POP_CNT_10G","MAN_FLOW_POP_CNT_20G","MAN_FLOW_POP_CNT_30G","MAN_FLOW_POP_CNT_40G","MAN_FLOW_POP_CNT_50G","MAN_FLOW_POP_CNT_60GU","WMAN_FLOW_POP_CNT_10G","WMAN_FLOW_POP_CNT_20G","WMAN_FLOW_POP_CNT_30G","WMAN_FLOW_POP_CNT_40G","WMAN_FLOW_POP_CNT_50G","WMAN_FLOW_POP_CNT_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","11010560300051000001","953834.375","1956802","0.85","1.58","2.24","2.73","3.22","2.31","1","1.81","2.25","3.15","3.19","2.3","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560300051000001","953884.125","1956905","0.84","1.56","2.22","2.68","3.17","2.26","0.98","1.8","2.22","3.09","3.11","2.23","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200061000001","952950.6875","1956602","11.01","13.51","18.97","23.92","25.87","23","18.97","12.45","21.78","33.34","30.92","24.77","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200061000001","952951.3125","1956705","6.97","8.53","12.02","15.13","16.37","14.55","12.03","7.89","13.79","21.1","19.57","15.68","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200071000001","952806","1957014","2.93","3.59","5.05","6.38","6.89","6.14","5.05","3.32","5.79","8.89","8.24","6.59","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200061000001","953000.125","1956653","10.42","12.81","17.97","22.67","24.55","21.82","17.98","11.81","20.65","31.61","29.34","23.5","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200071000001","952854.6875","1956962","3.95","5.09","7.14","8.91","9.8","8.46","6.54","4.81","8.05","12.16","11.41","9","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200011000001","952856.375","1957270","1.72","2.12","2.95","3.74","4.05","3.56","2.96","1.93","3.4","5.22","4.85","3.86","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200061000001","953000.3125","1956704","8.69","10.66","14.98","18.87","20.43","18.2","14.98","9.81","17.2","26.34","24.42","19.56","2016-05-04 오후 6:30:52"
"201603","서울특별시","종로구","평창동","11010560200071000001","952805.6875","1956962","3.44","4.24","5.96","7.48","8.13","7.2","5.93","3.91","6.83","10.46","9.69","7.76","2016-05-04 오후 6:30:52"
"201603","서울특별시","종로구","평창동","11010560200061000001","953001.1875","1956858","0.58","1.12","1.55","1.91","2.24","1.62","0.69","1.28","1.57","2.2","2.21","1.61","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200061000001","953001.5","1956910","0.47","0.97","1.35","1.64","1.93","1.36","0.58","1.1","1.36","1.9","1.92","1.39","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200031000001","953297.375","1957216","0.47","1.73","5","6.02","5.31","3.52","0.77","1.76","2.68","3.49","3.58","3.11","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200061000001","953049.6875","1956755","0.72","1.39","1.95","2.41","2.79","2.02","0.87","1.59","1.96","2.75","2.78","2.04","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200031000001","953050.625","1956909","0.53","1.03","1.44","1.76","2.07","1.48","0.63","1.17","1.46","2.05","2.04","1.5","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200061000001","953050","1956807","0.68","1.34","1.87","2.28","2.66","1.9","0.83","1.51","1.89","2.64","2.65","1.96","2016-05-04 오후 6:31:19"
"201603","서울특별시","종로구","평창동","11010560200061000001","953098.6875","1956755","0.72","1.39","1.96","2.41","2.81","2.02","0.88","1.59","1.97","2.75","2.8","2.05","2016-05-04 오후 6:31:17"
"201603","서울특별시","종로구","평창동","11010560200061000001","953099","1956806","7.11","8.75","12.26","15.5","16.76","14.89","12.27","8.07","14.1","21.58","20.02","16.04","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200031000001","953150.125","1957166","3.39","4.19","5.89","7.42","8.02","7.11","5.88","3.86","6.77","10.33","9.6","7.67","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200071000001","952607.8125","1956655","5.22","6.4","9","11.37","12.32","10.93","9.02","5.92","10.35","15.85","14.7","11.76","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200021000001","952559.3125","1956758","2.75","3.57","5.02","6.27","6.87","5.91","4.66","3.35","5.67","8.55","8.03","6.4","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200071000001","952656.8125","1956655","5.74","7.07","9.92","12.54","13.57","12.03","9.95","6.54","11.42","17.49","16.23","12.95","2016-05-04 오후 6:31:17"
"201603","서울특별시","종로구","평창동","11010560200071000001","952706.1875","1956706","4.95","6.09","8.52","10.77","11.65","10.34","8.52","5.6","9.8","15.01","13.92","11.11","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200021000001","952509.6875","1956656","4.03","4.94","6.96","8.76","9.51","8.39","6.97","4.56","7.99","12.25","11.34","9.11","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200011000001","952904.125","1957013","3.43","4.19","5.89","7.44","8.05","7.14","5.92","3.88","6.78","10.4","9.64","7.68","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200071000001","952706.8125","1956809","0.71","1.03","1.58","2.99","4.79","5.29","1.01","0.92","1.49","2.37","2.92","2.98","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200071000001","952756.625","1956963","0.3","0.62","0.87","1.05","1.23","0.87","0.39","0.69","0.87","1.2","1.23","0.9","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200051000001","954278.625","1957313","0.47","0.97","1.35","1.65","1.94","1.37","0.59","1.1","1.37","1.9","1.94","1.41","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200051000001","954523.8125","1957312","0.77","1.48","2.1","2.56","3.02","2.16","0.93","1.69","2.1","2.95","2.96","2.17","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560300051000001","953784.875","1956700","0.99","1.86","2.64","3.21","3.76","2.74","1.18","2.14","2.62","3.7","3.72","2.71","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560300051000001","953883","1956699","0.72","1.39","1.96","2.41","2.81","2.02","0.88","1.6","1.97","2.75","2.8","2.05","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200071000001","952756.875","1957014","3.25","4.24","5.94","7.49","8.2","7.07","5.51","4.04","6.72","10.2","9.51","7.54","2016-05-04 오후 6:31:15"
"201603","서울특별시","종로구","평창동","11010560200021000001","952510.3125","1956758","2.14","2.82","3.89","4.93","5.38","4.6","3.62","2.61","4.43","6.69","6.24","4.96","2016-05-04 오후 6:31:15"
"201603","서울특별시","종로구","평창동","11010560200031000001","953100.125","1957012","0.28","0.59","0.84","1","1.2","0.85","0.39","0.66","0.83","1.17","1.18","0.87","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560200071000001","952803.875","1956654","0.8","1.48","2.12","2.58","3.06","2.19","0.95","1.7","2.13","2.99","3","2.19","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560200051000001","954327.125","1957210","0.58","1.07","1.54","1.87","2.2","1.61","0.67","1.25","1.54","2.15","2.17","1.57","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560200051000001","954669.5","1957055","0.88","1.69","2.36","2.85","3.37","2.46","1.04","1.91","2.35","3.3","3.35","2.43","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560300051000001","953878.375","1955877","0.46","0.94","1.34","1.61","1.89","1.34","0.57","1.08","1.33","1.85","1.88","1.37","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560300051000001","953883.625","1956802","0.63","1.24","1.74","2.11","2.5","1.76","0.78","1.4","1.74","2.43","2.47","1.82","2016-05-04 오후 6:31:09"
"201603","서울특별시","종로구","평창동","11010560200031000001","953150.6875","1957268","3.24","4.86","8.14","10.09","10.37","8.41","5.56","4.69","7.68","11.32","10.8","8.7","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200071000001","952852.875","1956654","0.66","0.53","1","3.42","6.54","8.48","1.07","0.13","0.83","1.74","2.8","3.87","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200041000001","953196.375","1956703","0.55","5.51","16.92","13.82","6.66","2.83","1.9","7.11","7.6","5.11","4.1","2.45","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200051000001","953789.8125","1957573","0.21","0.14","0.31","1.11","2.13","2.72","0.36","0.04","0.28","0.55","0.91","1.21","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","954081.125","1957058","1.57","2.2","3.36","6.47","10.25","11.39","2.15","2","3.2","5.11","6.24","6.49","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","954179.125","1957057","0.6","0.45","0.88","3.09","5.95","7.67","0.96","0.11","0.76","1.57","2.54","3.48","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","953838.5","1957521","0.25","0.99","2.83","3.4","3","1.98","0.44","0.97","1.52","1.97","2.02","1.7","2016-05-04 오후 6:31:13"
