일자,발전기명(WTG),발전기(Serial),발전량(kWh),최저풍속(m-s),평균풍속(m-s),최대풍속(m-s),최소발전량(kW),평균발전량(kW),최대발전량(kW),이용률(백분율),가동율(백분율),발전용량(kW),위치
2019-03-08,WTG01,U113-001,1931.03,0.026000000000000002,2.688,7.638999999999999,-31.15,80.189,870.8969999999999,3.498,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-09,WTG01,U113-001,1256.104,0.0,2.4730000000000003,8.482999999999999,-33.343,51.817,836.456,2.276,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-10,WTG01,U113-001,11213.501,1.541,5.475,11.172,-27.64,467.121,2326.196,20.314,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-11,WTG01,U113-001,6659.668000000001,0.025,3.73,14.469000000000001,-30.93,277.21299999999997,2391.5679999999998,12.065,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-12,WTG01,U113-001,25007.568,0.028999999999999998,7.2989999999999995,16.91,-31.588,1041.67,2374.238,45.303999999999995,99.6,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-13,WTG01,U113-001,15030.028999999999,0.0,5.635,16.317,-30.491999999999997,625.724,2381.4770000000003,27.228,99.3,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-14,WTG01,U113-001,5698.486,0.064,4.245,10.231,-32.905,237.063,1523.0829999999999,10.323,99.7,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-15,WTG01,U113-001,28167.725,1.4869999999999999,9.222000000000001,21.198,-30.93,1173.684,2421.403,51.028,96.6,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-16,WTG01,U113-001,15309.692,0.026000000000000002,5.757000000000001,18.62,-32.247,637.681,2372.4829999999997,27.735,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-17,WTG01,U113-001,2280.884,0.055999999999999994,3.1210000000000004,7.138999999999999,-32.027,94.463,582.207,4.132,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-18,WTG01,U113-001,6.47,0.03,1.4509999999999998,4.885,-33.343,0.006,97.838,0.012,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-19,WTG01,U113-001,52.49,0.027999999999999997,1.285,6.108,-30.711,1.9140000000000001,190.851,0.095,99.7,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-20,WTG01,U113-001,20656.982,0.027000000000000003,9.317,25.955,-31.588,860.0169999999999,2417.4539999999997,37.422,95.8,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-21,WTG01,U113-001,41255.615,1.4140000000000001,10.649000000000001,18.391,-121.311,1718.964,2389.155,74.738,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-22,WTG01,U113-001,44440.674000000006,0.0,10.833,17.294,512.227,1851.817,2375.554,80.508,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-23,WTG01,U113-001,27722.9,0.032,8.71,19.111,-450.80400000000003,1154.84,2393.982,50.223,97.8,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-24,WTG01,U113-001,9783.813,0.033,4.622,14.110999999999999,-31.808000000000003,407.19199999999995,2359.1020000000003,17.724,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-25,WTG01,U113-001,9938.232,1.301,5.572,10.869000000000002,-30.711,413.952,1765.0479999999998,18.004,99.6,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-26,WTG01,U113-001,8781.128,0.028999999999999998,4.465,12.436,-268.508,365.334,2285.613,15.908,99.8,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-27,WTG01,U113-001,34800.171,0.0,9.297,17.66,-554.347,1450.0020000000002,2383.452,63.044,99.2,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-28,WTG01,U113-001,8472.412,0.0,5.038,9.934,-13.161,352.99300000000005,1598.766,15.349,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-29,WTG01,U113-001,6683.96,0.242,4.5489999999999995,11.835999999999999,-30.491999999999997,278.188,2125.692,12.109000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-30,WTG01,U113-001,22930.908,0.03,7.346,23.464000000000002,-31.808000000000003,955.1289999999999,2404.731,41.542,96.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-31,WTG01,U113-001,49986.084,3.2289999999999996,11.875,23.166999999999998,433.474,2082.861,2389.594,90.554,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-01,WTG01,U113-001,9841.553,0.0,4.902,11.695,-30.93,409.82099999999997,2119.33,17.829,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-02,WTG01,U113-001,5905.64,0.049,4.184,8.783999999999999,-31.808000000000003,245.80700000000002,1116.372,10.699000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-03,WTG01,U113-001,2324.951,0.03,2.741,8.392999999999999,-32.247,96.541,709.222,4.212,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-04,WTG01,U113-001,4221.191,0.03,3.444,9.623,-30.93,175.611,1373.912,7.647,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-05,WTG01,U113-001,13815.552,0.055,5.688,12.034,-31.369,575.371,2291.3160000000003,25.028000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-06,WTG01,U113-001,10893.677,0.03,4.561,12.79,-31.588,453.664,2353.3979999999997,19.735,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-07,WTG01,U113-001,3143.066,0.03,3.033,12.112,-277.502,130.40200000000002,2213.879,5.694,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-08,WTG01,U113-001,8038.696,0.0,4.7,11.355,-30.93,334.764,2054.397,14.562999999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-09,WTG01,U113-001,18451.172,0.20199999999999999,6.249,19.995,-32.027,768.53,2391.5679999999998,33.426,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-10,WTG01,U113-001,16947.631999999998,0.0,6.231,12.702,-30.273000000000003,706.054,2330.584,30.701999999999998,99.4,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-11,WTG01,U113-001,2920.41,0.031,3.4619999999999997,8.185,-32.685,121.39399999999999,1039.154,5.291,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-12,WTG01,U113-001,683.105,0.027999999999999997,1.906,6.324,-31.15,28.02,425.35699999999997,1.238,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-13,WTG01,U113-001,631.104,0.026000000000000002,1.8130000000000002,6.187,-32.027,26.21,320.499,1.143,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-14,WTG01,U113-001,17402.953999999998,0.0,6.278,12.509,-31.588,725.005,2355.592,31.526999999999997,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-15,WTG01,U113-001,5173.95,0.03,2.9130000000000003,12.620999999999999,-30.491999999999997,215.25400000000002,2299.433,9.373,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
