날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2018-04-22,광양항태양광,전남 광양시 도이동 775,2.3,2210400
2018-04-23,광양항태양광,전남 광양시 도이동 775,2.3,675000
2018-04-24,광양항태양광,전남 광양시 도이동 775,2.3,3591000
2018-04-25,광양항태양광,전남 광양시 도이동 775,2.3,11190600
2018-04-26,광양항태양광,전남 광양시 도이동 775,2.3,9516600
2018-04-27,광양항태양광,전남 광양시 도이동 775,2.3,9858600
2018-04-28,광양항태양광,전남 광양시 도이동 775,2.3,10445400
2018-04-29,광양항태양광,전남 광양시 도이동 775,2.3,10387800
2018-04-30,광양항태양광,전남 광양시 도이동 775,2.3,4530600
2018-05-01,광양항태양광,전남 광양시 도이동 775,2.3,1314000
2018-05-02,광양항태양광,전남 광양시 도이동 775,2.3,2860200
2018-05-03,광양항태양광,전남 광양시 도이동 775,2.3,8818200
2018-05-04,광양항태양광,전남 광양시 도이동 775,2.3,11444400
2018-05-05,광양항태양광,전남 광양시 도이동 775,2.3,9849600
2018-05-06,광양항태양광,전남 광양시 도이동 775,2.3,0
2018-05-07,광양항태양광,전남 광양시 도이동 775,2.3,0
2018-05-08,광양항태양광,전남 광양시 도이동 775,2.3,0
2018-05-09,광양항태양광,전남 광양시 도이동 775,2.3,3241800
2018-05-10,광양항태양광,전남 광양시 도이동 775,2.3,11266200
2018-05-11,광양항태양광,전남 광양시 도이동 775,2.3,10422000
2018-05-12,광양항태양광,전남 광양시 도이동 775,2.3,2124000
2018-05-13,광양항태양광,전남 광양시 도이동 775,2.3,9057600
2018-05-14,광양항태양광,전남 광양시 도이동 775,2.3,10868400
2018-05-15,광양항태양광,전남 광양시 도이동 775,2.3,9045000
2018-05-16,광양항태양광,전남 광양시 도이동 775,2.3,694800
2018-05-17,광양항태양광,전남 광양시 도이동 775,2.3,2896200
2018-05-18,광양항태양광,전남 광양시 도이동 775,2.3,6154200
2018-05-19,광양항태양광,전남 광양시 도이동 775,2.3,9057600
2018-05-20,광양항태양광,전남 광양시 도이동 775,2.3,9444600
2018-05-21,광양항태양광,전남 광양시 도이동 775,2.3,9448200
2018-05-22,광양항태양광,전남 광양시 도이동 775,2.3,10015200
2018-05-23,광양항태양광,전남 광양시 도이동 775,2.3,11034000
2018-05-24,광양항태양광,전남 광양시 도이동 775,2.3,11858400
2018-05-25,광양항태양광,전남 광양시 도이동 775,2.3,9856800
2018-05-26,광양항태양광,전남 광양시 도이동 775,2.3,11745000
2018-05-27,광양항태양광,전남 광양시 도이동 775,2.3,7565400
2018-05-28,광양항태양광,전남 광양시 도이동 775,2.3,2264400
2018-05-29,광양항태양광,전남 광양시 도이동 775,2.3,8888400
2018-05-30,광양항태양광,전남 광양시 도이동 775,2.3,8303400
2018-05-31,광양항태양광,전남 광양시 도이동 775,2.3,8622000
2018-06-01,광양항태양광,전남 광양시 도이동 775,2.3,11593800
2018-06-02,광양항태양광,전남 광양시 도이동 775,2.3,11415600
2018-06-03,광양항태양광,전남 광양시 도이동 775,2.3,9945000
2018-06-04,광양항태양광,전남 광양시 도이동 775,2.3,10051200
2018-06-05,광양항태양광,전남 광양시 도이동 775,2.3,4725000
2018-06-06,광양항태양광,전남 광양시 도이동 775,2.3,10634400
2018-06-07,광양항태양광,전남 광양시 도이동 775,2.3,11113200
2018-06-08,광양항태양광,전남 광양시 도이동 775,2.3,9631800
2018-06-09,광양항태양광,전남 광양시 도이동 775,2.3,10351800
2018-06-10,광양항태양광,전남 광양시 도이동 775,2.3,3859200
2018-06-11,광양항태양광,전남 광양시 도이동 775,2.3,3621600
2018-06-12,광양항태양광,전남 광양시 도이동 775,2.3,6528600
2018-06-13,광양항태양광,전남 광양시 도이동 775,2.3,7173000
2018-06-14,광양항태양광,전남 광양시 도이동 775,2.3,10450800
2018-06-15,광양항태양광,전남 광양시 도이동 775,2.3,12281400
2018-06-16,광양항태양광,전남 광양시 도이동 775,2.3,12126600
2018-06-17,광양항태양광,전남 광양시 도이동 775,2.3,8632800
2018-06-18,광양항태양광,전남 광양시 도이동 775,2.3,9784800
2018-06-19,광양항태양광,전남 광양시 도이동 775,2.3,4444200
2018-06-20,광양항태양광,전남 광양시 도이동 775,2.3,10357200
2018-06-21,광양항태양광,전남 광양시 도이동 775,2.3,11664000
2018-06-22,광양항태양광,전남 광양시 도이동 775,2.3,9603000
2018-06-23,광양항태양광,전남 광양시 도이동 775,2.3,10011600
2018-06-24,광양항태양광,전남 광양시 도이동 775,2.3,11395800
2018-06-25,광양항태양광,전남 광양시 도이동 775,2.3,9669600
2018-06-26,광양항태양광,전남 광양시 도이동 775,2.3,2246400
2018-06-27,광양항태양광,전남 광양시 도이동 775,2.3,2552400
2018-06-28,광양항태양광,전남 광양시 도이동 775,2.3,1555200
2018-06-29,광양항태양광,전남 광양시 도이동 775,2.3,6796800
2018-06-30,광양항태양광,전남 광양시 도이동 775,2.3,759600
2018-07-01,광양항태양광,전남 광양시 도이동 775,2.3,3801600
2018-07-02,광양항태양광,전남 광양시 도이동 775,2.3,3580200
2018-07-03,광양항태양광,전남 광양시 도이동 775,2.3,2028600
2018-07-04,광양항태양광,전남 광양시 도이동 775,2.3,9563400
2018-07-05,광양항태양광,전남 광양시 도이동 775,2.3,2422800
2018-07-06,광양항태양광,전남 광양시 도이동 775,2.3,2341800
2018-07-07,광양항태양광,전남 광양시 도이동 775,2.3,11469600
2018-07-08,광양항태양광,전남 광양시 도이동 775,2.3,7158600
2018-07-09,광양항태양광,전남 광양시 도이동 775,2.3,1657800
2018-07-10,광양항태양광,전남 광양시 도이동 775,2.3,6876000
2018-07-11,광양항태양광,전남 광양시 도이동 775,2.3,9509400
2018-07-12,광양항태양광,전남 광양시 도이동 775,2.3,9921600
2018-07-13,광양항태양광,전남 광양시 도이동 775,2.3,11815200
2018-07-14,광양항태양광,전남 광양시 도이동 775,2.3,11743200
2018-07-15,광양항태양광,전남 광양시 도이동 775,2.3,11547000
2018-07-16,광양항태양광,전남 광양시 도이동 775,2.3,11219400
2018-07-17,광양항태양광,전남 광양시 도이동 775,2.3,11280600
2018-07-18,광양항태양광,전남 광양시 도이동 775,2.3,11037600
2018-07-19,광양항태양광,전남 광양시 도이동 775,2.3,10701000
2018-07-20,광양항태양광,전남 광양시 도이동 775,2.3,10112400
2018-07-21,광양항태양광,전남 광양시 도이동 775,2.3,10245600
2018-07-22,광양항태양광,전남 광양시 도이동 775,2.3,7187400
2018-07-23,광양항태양광,전남 광양시 도이동 775,2.3,10197000
2018-07-24,광양항태양광,전남 광양시 도이동 775,2.3,11176200
2018-07-25,광양항태양광,전남 광양시 도이동 775,2.3,10857600
2018-07-26,광양항태양광,전남 광양시 도이동 775,2.3,10589400
2018-07-27,광양항태양광,전남 광양시 도이동 775,2.3,8899200
2018-07-28,광양항태양광,전남 광양시 도이동 775,2.3,5968800
2018-07-29,광양항태양광,전남 광양시 도이동 775,2.3,9723600
2018-07-30,광양항태양광,전남 광양시 도이동 775,2.3,6895800
2018-07-31,광양항태양광,전남 광양시 도이동 775,2.3,8514000
2018-08-01,광양항태양광,전남 광양시 도이동 775,2.3,10468800
2018-08-02,광양항태양광,전남 광양시 도이동 775,2.3,10774800
2018-08-03,광양항태양광,전남 광양시 도이동 775,2.3,9901800
2018-08-04,광양항태양광,전남 광양시 도이동 775,2.3,9936000
2018-08-05,광양항태양광,전남 광양시 도이동 775,2.3,9761400
2018-08-06,광양항태양광,전남 광양시 도이동 775,2.3,8125200
2018-08-07,광양항태양광,전남 광양시 도이동 775,2.3,7477200
2018-08-08,광양항태양광,전남 광양시 도이동 775,2.3,7957800
2018-08-09,광양항태양광,전남 광양시 도이동 775,2.3,9325800
2018-08-10,광양항태양광,전남 광양시 도이동 775,2.3,6091200
2018-08-11,광양항태양광,전남 광양시 도이동 775,2.3,4793400
2018-08-12,광양항태양광,전남 광양시 도이동 775,2.3,6703200
2018-08-13,광양항태양광,전남 광양시 도이동 775,2.3,9482400
2018-08-14,광양항태양광,전남 광양시 도이동 775,2.3,9916200
2018-08-15,광양항태양광,전남 광양시 도이동 775,2.3,8533800
2018-08-16,광양항태양광,전남 광양시 도이동 775,2.3,4455000
2018-08-17,광양항태양광,전남 광양시 도이동 775,2.3,9023400
2018-08-18,광양항태양광,전남 광양시 도이동 775,2.3,9615600
2018-08-19,광양항태양광,전남 광양시 도이동 775,2.3,10369800
2018-08-20,광양항태양광,전남 광양시 도이동 775,2.3,4500000
2018-08-21,광양항태양광,전남 광양시 도이동 775,2.3,10519200
2018-08-22,광양항태양광,전남 광양시 도이동 775,2.3,7644600
2018-08-23,광양항태양광,전남 광양시 도이동 775,2.3,2887200
2018-08-24,광양항태양광,전남 광양시 도이동 775,2.3,4595400
2018-08-25,광양항태양광,전남 광양시 도이동 775,2.3,4590000
2018-08-26,광양항태양광,전남 광양시 도이동 775,2.3,5043600
2018-08-27,광양항태양광,전남 광양시 도이동 775,2.3,2917800
2018-08-28,광양항태양광,전남 광양시 도이동 775,2.3,8557200
2018-08-29,광양항태양광,전남 광양시 도이동 775,2.3,7482600
2018-08-30,광양항태양광,전남 광양시 도이동 775,2.3,6481800
2018-08-31,광양항태양광,전남 광양시 도이동 775,2.3,1785600
